n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,0,0,0,0,0,0,0
4,31593.8,178721,0,0,0,0,1.011e+006
8,96250,239934,0,0,0,0,999000
16,668875,539674,0,0,1.0045e+006,1.0215e+006,1.577e+006
32,4.39109e+006,982165,2.536e+006,3.92025e+006,4.0725e+006,5.0275e+006,7.06e+006
64,2.82072e+007,1.1581e+006,2.6158e+007,2.73528e+007,2.80245e+007,2.88648e+007,3.0874e+007
128,1.91803e+008,4.78882e+006,1.86433e+008,1.89178e+008,1.90144e+008,1.93587e+008,2.10429e+008
256,1.27104e+009,9.56066e+006,1.25539e+009,1.26514e+009,1.27023e+009,1.27455e+009,1.30235e+009
512,9.37522e+009,1.14431e+009,8.80634e+009,8.9214e+009,8.98022e+009,9.32651e+009,1.51402e+010
