n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
200,1.88309e+06,43244.5,1.843e+06,1.846e+06,1.8665e+06,1.92025e+06,1.994e+06
202,1.97603e+06,188258,1.889e+06,1.8955e+06,1.9125e+06,1.99275e+06,2.929e+06
204,2.12591e+06,297701,2.009e+06,2.05575e+06,2.065e+06,2.08375e+06,3.746e+06
206,2.09144e+06,102531,2.021e+06,2.029e+06,2.0495e+06,2.10325e+06,2.461e+06
208,2.16531e+06,131619,2.099e+06,2.118e+06,2.135e+06,2.166e+06,2.858e+06
210,2.24288e+06,198955,2.154e+06,2.17425e+06,2.195e+06,2.221e+06,3.296e+06
212,2.235e+06,40931.1,2.193e+06,2.20575e+06,2.2245e+06,2.24825e+06,2.382e+06
214,2.32316e+06,215391,2.25e+06,2.26225e+06,2.27e+06,2.299e+06,3.474e+06
216,2.41178e+06,198983,2.322e+06,2.33625e+06,2.3645e+06,2.4065e+06,3.455e+06
218,2.44994e+06,61064.2,2.382e+06,2.3925e+06,2.436e+06,2.49225e+06,2.595e+06
220,2.54775e+06,46502.2,2.449e+06,2.524e+06,2.5425e+06,2.582e+06,2.638e+06
222,2.56984e+06,83366.3,2.509e+06,2.5175e+06,2.533e+06,2.59825e+06,2.909e+06
224,2.75528e+06,106287,2.537e+06,2.68375e+06,2.806e+06,2.835e+06,2.904e+06
226,2.94694e+06,218011,2.681e+06,2.7755e+06,2.9305e+06,3.07025e+06,3.744e+06
228,2.81031e+06,108387,2.722e+06,2.744e+06,2.754e+06,2.8165e+06,3.051e+06
230,2.897e+06,81707.2,2.796e+06,2.80925e+06,2.8975e+06,2.956e+06,3.089e+06
232,2.95684e+06,66953.6,2.876e+06,2.9155e+06,2.95e+06,2.9775e+06,3.215e+06
234,3.11569e+06,254863,2.945e+06,2.98275e+06,3.0325e+06,3.17075e+06,4.323e+06
236,3.11338e+06,77415,3.022e+06,3.03975e+06,3.1125e+06,3.16225e+06,3.295e+06
238,3.28247e+06,365760,3.1e+06,3.13975e+06,3.1455e+06,3.2775e+06,4.735e+06
240,3.29406e+06,94155.3,3.222e+06,3.2515e+06,3.2685e+06,3.29075e+06,3.69e+06
242,3.45784e+06,185103,3.311e+06,3.3535e+06,3.3895e+06,3.48625e+06,4.128e+06
244,3.56144e+06,281937,3.366e+06,3.413e+06,3.4385e+06,3.6045e+06,4.509e+06
246,3.69622e+06,405228,3.505e+06,3.52775e+06,3.5515e+06,3.656e+06,5.35e+06
248,3.74228e+06,182152,3.591e+06,3.646e+06,3.6915e+06,3.756e+06,4.528e+06
250,3.82859e+06,148762,3.65e+06,3.7095e+06,3.7815e+06,3.91075e+06,4.192e+06
252,3.88922e+06,133610,3.747e+06,3.803e+06,3.8455e+06,3.9475e+06,4.345e+06
