n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0
16,66468.8,261931,0,0,0,0,1.119e+006
32,109562,353914,0,0,0,0,1.505e+006
64,763062,534954,0,0,1.0025e+006,1.0175e+006,1.605e+006
128,5.95166e+006,773082,4.514e+006,5.51575e+006,6.0265e+006,6.2875e+006,8.525e+006
256,4.4064e+007,5.77229e+006,3.9434e+007,4.0455e+007,4.1086e+007,4.71788e+007,6.3437e+007
512,2.98933e+008,1.86696e+007,2.78233e+008,2.82453e+008,2.96426e+008,3.08911e+008,3.55519e+008
