n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
2,31500,178191,0,0,0,0,1.008e+006
4,0,0,0,0,0,0,0
8,31437.5,177837,0,0,0,0,1.006e+006
16,490312,597763,0,0,0,1.0005e+006,1.555e+006
32,4.14081e+006,475489,3.027e+006,4.0235e+006,4.1895e+006,4.51675e+006,5.057e+006
64,2.92096e+007,3.34105e+006,2.6656e+007,2.74835e+007,2.79055e+007,2.90648e+007,4.1789e+007
128,1.92859e+008,9.513e+006,1.86101e+008,1.89349e+008,1.90247e+008,1.91544e+008,2.38622e+008
256,1.26589e+009,1.25129e+007,1.24244e+009,1.26038e+009,1.26404e+009,1.26842e+009,1.30973e+009
512,9.11792e+009,4.28097e+008,8.76916e+009,8.81051e+009,8.86085e+009,9.33375e+009,1.01296e+010
