n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
132,1.50623e+08,1.20124e+07,1.33632e+08,1.42506e+08,1.48924e+08,1.55941e+08,1.9654e+08
134,1.45958e+08,1.03295e+07,1.34839e+08,1.38452e+08,1.41022e+08,1.54217e+08,1.70631e+08
136,1.44929e+08,6.07344e+06,1.34631e+08,1.40785e+08,1.45266e+08,1.4847e+08,1.59025e+08
138,1.48346e+08,9.34879e+06,1.37007e+08,1.40169e+08,1.46136e+08,1.55078e+08,1.70558e+08
140,1.46952e+08,8.85923e+06,1.34833e+08,1.39916e+08,1.46126e+08,1.52174e+08,1.66386e+08
142,1.54565e+08,1.0193e+07,1.41556e+08,1.4665e+08,1.52422e+08,1.59636e+08,1.87699e+08
144,1.44607e+08,5.98685e+06,1.35289e+08,1.39876e+08,1.43106e+08,1.48831e+08,1.57958e+08
146,1.48793e+08,1.03166e+07,1.33763e+08,1.40341e+08,1.47449e+08,1.58096e+08,1.65583e+08
148,1.47767e+08,1.03901e+07,1.30982e+08,1.39387e+08,1.46978e+08,1.5402e+08,1.75677e+08
150,1.42272e+08,9.51803e+06,1.29217e+08,1.34584e+08,1.4019e+08,1.47413e+08,1.66953e+08
152,1.48137e+08,1.05227e+07,1.33582e+08,1.39758e+08,1.4743e+08,1.52993e+08,1.73967e+08
154,1.56899e+08,1.22517e+07,1.40221e+08,1.48051e+08,1.53322e+08,1.67152e+08,1.89754e+08
156,1.50608e+08,9.38228e+06,1.36337e+08,1.43507e+08,1.5021e+08,1.56258e+08,1.70695e+08
158,1.4895e+08,8.97712e+06,1.34749e+08,1.40607e+08,1.49162e+08,1.55085e+08,1.74883e+08
160,1.45942e+08,8.34683e+06,1.31822e+08,1.40944e+08,1.43274e+08,1.48467e+08,1.64385e+08
162,1.49594e+08,8.98438e+06,1.37372e+08,1.43072e+08,1.46684e+08,1.56725e+08,1.70099e+08
164,1.46954e+08,9.92785e+06,1.31811e+08,1.40145e+08,1.45224e+08,1.53776e+08,1.70015e+08
166,1.55935e+08,8.65727e+06,1.43037e+08,1.49286e+08,1.553e+08,1.61162e+08,1.7417e+08
168,1.57999e+08,1.3937e+07,1.3932e+08,1.49735e+08,1.57424e+08,1.63266e+08,2.08086e+08
170,1.5001e+08,9.99147e+06,1.34959e+08,1.41116e+08,1.49638e+08,1.56264e+08,1.71473e+08
172,1.4689e+08,6.0946e+06,1.33522e+08,1.4259e+08,1.4765e+08,1.50837e+08,1.59993e+08
174,1.45418e+08,8.40892e+06,1.3513e+08,1.3963e+08,1.44762e+08,1.49968e+08,1.72753e+08
176,1.45192e+08,8.39762e+06,1.31352e+08,1.38145e+08,1.44864e+08,1.50964e+08,1.60791e+08
178,1.4827e+08,1.11567e+07,1.35189e+08,1.3953e+08,1.46148e+08,1.51996e+08,1.79204e+08
180,1.65435e+08,1.1129e+07,1.44629e+08,1.56823e+08,1.65656e+08,1.72838e+08,1.88202e+08
182,1.73888e+08,3.37641e+07,1.39094e+08,1.52964e+08,1.63098e+08,1.79581e+08,2.69763e+08
184,1.50739e+08,8.01169e+06,1.37902e+08,1.45023e+08,1.51613e+08,1.56848e+08,1.65734e+08
186,1.51676e+08,1.19403e+07,1.3636e+08,1.4306e+08,1.47935e+08,1.57676e+08,1.87165e+08
188,1.4954e+08,9.02259e+06,1.36096e+08,1.42848e+08,1.47421e+08,1.55738e+08,1.68603e+08
190,1.50447e+08,1.8293e+07,1.32259e+08,1.42833e+08,1.4756e+08,1.53581e+08,2.3584e+08
192,1.61037e+08,1.25043e+07,1.45468e+08,1.52092e+08,1.58874e+08,1.66696e+08,2.03028e+08
194,1.63174e+08,1.81145e+07,1.38763e+08,1.50833e+08,1.62822e+08,1.72214e+08,2.10507e+08
196,1.5119e+08,8.52759e+06,1.38648e+08,1.43088e+08,1.53816e+08,1.56858e+08,1.68044e+08
198,1.51445e+08,8.64426e+06,1.35466e+08,1.44442e+08,1.51392e+08,1.55273e+08,1.77478e+08
200,1.46939e+08,1.01128e+07,1.31675e+08,1.38514e+08,1.45783e+08,1.54984e+08,1.66475e+08
202,1.52006e+08,1.05799e+07,1.39272e+08,1.44057e+08,1.48888e+08,1.55674e+08,1.77834e+08
204,1.60296e+08,1.17896e+07,1.4233e+08,1.52048e+08,1.59026e+08,1.66156e+08,1.9277e+08
206,1.54188e+08,9.92616e+06,1.37573e+08,1.46117e+08,1.53372e+08,1.59309e+08,1.80872e+08
208,1.58818e+08,8.4822e+06,1.4506e+08,1.52784e+08,1.57914e+08,1.67643e+08,1.72684e+08
210,1.64319e+08,9.08701e+06,1.43813e+08,1.5733e+08,1.65882e+08,1.71803e+08,1.76304e+08
212,1.58492e+08,1.11276e+07,1.4052e+08,1.50584e+08,1.57184e+08,1.64077e+08,1.98509e+08
214,1.61997e+08,1.01902e+07,1.44464e+08,1.5373e+08,1.64353e+08,1.71433e+08,1.7851e+08
216,1.67742e+08,1.3199e+07,1.43741e+08,1.59353e+08,1.6865e+08,1.73488e+08,2.01029e+08
218,1.57165e+08,9.66488e+06,1.43592e+08,1.50394e+08,1.54198e+08,1.64604e+08,1.77028e+08
220,1.5786e+08,9.86675e+06,1.43234e+08,1.5015e+08,1.56076e+08,1.64593e+08,1.78273e+08
222,1.58953e+08,1.04053e+07,1.39189e+08,1.50682e+08,1.58764e+08,1.6411e+08,1.86602e+08
224,1.53963e+08,7.85831e+06,1.43276e+08,1.48625e+08,1.51532e+08,1.5738e+08,1.75679e+08
226,1.57658e+08,1.14862e+07,1.40778e+08,1.5065e+08,1.54835e+08,1.6321e+08,1.94438e+08
228,1.63283e+08,9.29925e+06,1.4841e+08,1.53383e+08,1.65101e+08,1.69649e+08,1.81405e+08
230,1.62218e+08,8.19597e+06,1.45511e+08,1.56958e+08,1.61662e+08,1.6719e+08,1.77451e+08
232,1.61711e+08,1.0854e+07,1.45784e+08,1.52779e+08,1.59403e+08,1.69446e+08,1.89317e+08
234,1.59183e+08,1.03421e+07,1.42851e+08,1.50888e+08,1.57694e+08,1.68249e+08,1.79651e+08
236,1.6348e+08,1.20131e+07,1.47205e+08,1.53764e+08,1.63035e+08,1.70783e+08,2.06639e+08
238,1.69723e+08,1.60402e+07,1.53085e+08,1.58231e+08,1.66423e+08,1.75699e+08,2.29531e+08
240,1.93974e+08,2.79505e+07,1.56517e+08,1.71388e+08,1.85557e+08,2.13749e+08,2.50368e+08
242,1.59833e+08,1.12622e+07,1.39419e+08,1.51514e+08,1.59052e+08,1.67513e+08,1.82427e+08
244,1.53855e+08,9.89575e+06,1.38859e+08,1.46974e+08,1.51151e+08,1.61618e+08,1.72032e+08
246,1.49286e+08,8.02682e+06,1.3729e+08,1.42437e+08,1.48332e+08,1.54783e+08,1.66466e+08
248,1.52405e+08,8.45577e+06,1.41754e+08,1.44346e+08,1.50496e+08,1.59225e+08,1.70764e+08
250,1.54254e+08,8.28185e+06,1.362e+08,1.4776e+08,1.5359e+08,1.59762e+08,1.69223e+08
252,1.54244e+08,8.80074e+06,1.42607e+08,1.46386e+08,1.53506e+08,1.60687e+08,1.76391e+08
254,1.53002e+08,9.39363e+06,1.38013e+08,1.45432e+08,1.48332e+08,1.58744e+08,1.71248e+08
256,1.02666e+09,4.40946e+07,9.62634e+08,9.91036e+08,1.02561e+09,1.05359e+09,1.11538e+09
258,1.04013e+09,4.18724e+07,9.60999e+08,1.01478e+09,1.0419e+09,1.06642e+09,1.13108e+09
260,1.0598e+09,4.23114e+07,9.55355e+08,1.02729e+09,1.0504e+09,1.09419e+09,1.1441e+09
262,1.02449e+09,3.84394e+07,9.56927e+08,9.92607e+08,1.02466e+09,1.0527e+09,1.10308e+09
264,1.10221e+09,6.87081e+07,9.95097e+08,1.04783e+09,1.10122e+09,1.13925e+09,1.31007e+09
266,1.04527e+09,3.84467e+07,9.84747e+08,1.01565e+09,1.0462e+09,1.08265e+09,1.10703e+09
268,1.06879e+09,7.00327e+07,9.69744e+08,1.02331e+09,1.05258e+09,1.10522e+09,1.31814e+09
270,1.03034e+09,4.36193e+07,9.64091e+08,9.97852e+08,1.02898e+09,1.04897e+09,1.15037e+09
272,1.04547e+09,3.93784e+07,9.88712e+08,1.02494e+09,1.03708e+09,1.06128e+09,1.14299e+09
274,1.09625e+09,8.21625e+07,9.79556e+08,1.03309e+09,1.06959e+09,1.16931e+09,1.28027e+09
276,1.04734e+09,3.37415e+07,9.7911e+08,1.02299e+09,1.04639e+09,1.08121e+09,1.11036e+09
278,1.07155e+09,4.61291e+07,9.91047e+08,1.04557e+09,1.07456e+09,1.10601e+09,1.15225e+09
280,1.05287e+09,4.32039e+07,9.6694e+08,1.02584e+09,1.04801e+09,1.07738e+09,1.15443e+09
282,1.03448e+09,3.70503e+07,9.6504e+08,1.00678e+09,1.03573e+09,1.06283e+09,1.10573e+09
284,1.0474e+09,4.70517e+07,9.66311e+08,1.01147e+09,1.04356e+09,1.08518e+09,1.1339e+09
286,1.05882e+09,4.53058e+07,9.86199e+08,1.02216e+09,1.05865e+09,1.08786e+09,1.16202e+09
