n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
136,1.12886e+08,961544,1.11773e+08,1.1224e+08,1.12776e+08,1.131e+08,1.16585e+08
138,1.12711e+08,1.13574e+06,1.11682e+08,1.11856e+08,1.12394e+08,1.13324e+08,1.16614e+08
140,1.13307e+08,2.52666e+06,1.11503e+08,1.11846e+08,1.12223e+08,1.13372e+08,1.21855e+08
142,1.12377e+08,829226,1.11514e+08,1.11794e+08,1.12216e+08,1.12754e+08,1.1582e+08
144,1.12712e+08,1.04634e+06,1.11362e+08,1.12015e+08,1.12542e+08,1.13083e+08,1.16034e+08
146,1.13021e+08,1.46285e+06,1.11474e+08,1.12096e+08,1.12616e+08,1.13414e+08,1.17583e+08
148,1.12949e+08,1.87701e+06,1.11575e+08,1.11782e+08,1.1237e+08,1.13269e+08,1.20361e+08
150,1.12782e+08,1.03611e+06,1.11625e+08,1.12141e+08,1.12486e+08,1.13052e+08,1.166e+08
152,1.12798e+08,935705,1.11501e+08,1.12099e+08,1.12582e+08,1.1315e+08,1.1543e+08
154,1.12595e+08,1.12407e+06,1.11523e+08,1.11972e+08,1.12308e+08,1.12656e+08,1.16974e+08
156,1.13425e+08,2.29775e+06,1.11585e+08,1.12038e+08,1.1272e+08,1.13314e+08,1.22124e+08
158,1.12604e+08,1.08089e+06,1.1154e+08,1.11992e+08,1.12217e+08,1.12869e+08,1.16874e+08
160,1.14556e+08,3.17567e+06,1.1284e+08,1.13461e+08,1.13757e+08,1.14306e+08,1.31153e+08
162,1.14527e+08,1.72624e+06,1.12894e+08,1.1349e+08,1.13709e+08,1.15011e+08,1.1909e+08
164,1.13846e+08,606618,1.12921e+08,1.13448e+08,1.13792e+08,1.14093e+08,1.15866e+08
166,1.14406e+08,1.78628e+06,1.12708e+08,1.13563e+08,1.13858e+08,1.14448e+08,1.22529e+08
168,1.13968e+08,1.25458e+06,1.12851e+08,1.13154e+08,1.13551e+08,1.14087e+08,1.18725e+08
170,1.13905e+08,1.01962e+06,1.1291e+08,1.13374e+08,1.13722e+08,1.14023e+08,1.18649e+08
172,1.14798e+08,2.32768e+06,1.1304e+08,1.13658e+08,1.14174e+08,1.14921e+08,1.25823e+08
174,1.14252e+08,803581,1.12985e+08,1.13668e+08,1.14086e+08,1.1484e+08,1.16196e+08
176,1.14728e+08,1.19554e+06,1.13398e+08,1.14095e+08,1.14346e+08,1.14905e+08,1.18285e+08
178,1.14498e+08,1.04474e+06,1.1319e+08,1.13754e+08,1.14121e+08,1.15231e+08,1.17918e+08
180,1.1529e+08,2.71266e+06,1.1336e+08,1.13953e+08,1.14334e+08,1.15292e+08,1.25712e+08
182,1.14277e+08,1.02291e+06,1.13361e+08,1.13734e+08,1.14026e+08,1.14391e+08,1.17875e+08
184,1.14646e+08,936284,1.13446e+08,1.13921e+08,1.14389e+08,1.15212e+08,1.17087e+08
186,1.14711e+08,1.39021e+06,1.13328e+08,1.13964e+08,1.14422e+08,1.147e+08,1.19826e+08
188,1.15271e+08,2.11743e+06,1.13386e+08,1.14139e+08,1.1456e+08,1.15325e+08,1.23357e+08
190,1.14389e+08,1.0064e+06,1.13388e+08,1.13897e+08,1.14103e+08,1.14495e+08,1.18437e+08
192,1.14998e+08,1.42217e+06,1.1349e+08,1.14204e+08,1.14626e+08,1.151e+08,1.19928e+08
194,1.15118e+08,1.66869e+06,1.13708e+08,1.14241e+08,1.1457e+08,1.15585e+08,1.22519e+08
196,1.14885e+08,1.15658e+06,1.13515e+08,1.14058e+08,1.1464e+08,1.1544e+08,1.1846e+08
198,1.15135e+08,1.25303e+06,1.13761e+08,1.1439e+08,1.14892e+08,1.154e+08,1.19173e+08
200,1.1495e+08,901187,1.13749e+08,1.14464e+08,1.14802e+08,1.1532e+08,1.18339e+08
202,1.15059e+08,908899,1.13958e+08,1.14458e+08,1.14783e+08,1.15318e+08,1.17624e+08
204,1.15739e+08,1.96772e+06,1.14046e+08,1.14355e+08,1.14859e+08,1.16166e+08,1.20567e+08
206,1.15165e+08,1.11918e+06,1.13859e+08,1.14523e+08,1.14816e+08,1.15368e+08,1.19067e+08
208,1.15415e+08,1.40988e+06,1.13958e+08,1.14617e+08,1.15055e+08,1.15477e+08,1.19515e+08
210,1.15314e+08,1.28574e+06,1.14001e+08,1.14476e+08,1.1503e+08,1.15591e+08,1.19632e+08
212,1.15726e+08,2.20899e+06,1.13926e+08,1.14817e+08,1.15042e+08,1.15461e+08,1.25451e+08
214,1.15068e+08,764573,1.14131e+08,1.14585e+08,1.14934e+08,1.15229e+08,1.16951e+08
216,1.16896e+08,2.99121e+06,1.13824e+08,1.14823e+08,1.15556e+08,1.19024e+08,1.24184e+08
218,1.20386e+08,6.63506e+06,1.14299e+08,1.15453e+08,1.17252e+08,1.23601e+08,1.4112e+08
